用户,评论内容,点赞数,评论时间,观点分类
He119,详解个der!,1,2025-10-17 01:31:50,中立
在你隔壁的王叔,喝酒是我的事啊 但是你车不能着火啊[跪了],2,2025-10-17 16:32:37,支持
卡密临死前,车也喝酒了。所以门打不开。[滑稽],2,2025-10-16 16:38:37,中立
风雪雪只能这样了,这车牌号加上这事就很玄学,8,2025-10-15 23:03:31,中立
zx_llc001,酒驾是起因，门打不开是死因,1,2025-10-20 23:15:57,反对
あぃ萝莉,其实可以和奥迪一样，门把手拉轻一点是电弹开，重一点就是机械开门,89,2025-10-16 04:52:24,反对
StephenW-GT4,酒驾+大电机+把手设计,1,2025-10-15 20:04:56,反对
一枝七七丶,大家不要以身质检😭活着不好吗,1,2025-10-17 21:04:36,中立
5档手动,这么多新国标，只证明一件事，这些技术都太不成熟。油车依然是稳定可靠的。纯电，需要时间,2,2025-10-16 23:09:02,中立
清蒸鱼摆摆,速度超过 120 公里每小时出车祸任何主被动安全系统都没办法保证驾驶员及乘客的生命安全，区别在于东一块西一块还是一坨的区别，所以生命在于足下，严打酒后驾车，汽车行业需要整顿和规范！汽车只是一个工具，人才是最重要的因素！,3,2025-10-17 11:16:51,支持
田里种飞龙,车门一定要能开,5,2025-10-16 12:26:17,反对
断桨-,绿化带是骨灰级米粉的升级点,2,2025-10-16 03:26:54,支持
雁过拔毛的社会,这视频没被OTA,9,2025-10-15 20:43:52,支持
猫咪老师WS,新国标赶紧推行吧，现在问题太大了，我感觉只说门把手的问题，都有三个 一是机械结构的问题，必须得强制要求车企配备机械结构，不说多的四个门至少一个门有机械结构，这很合理，至少保证发生车祸断电了，车门可以不依靠小电瓶打开 第二就是自动落锁的机制，太不合理了，自动落锁本来应该是防止副驾后座乘客强行打开车门设计的，本来为了安全，现在却成了要人命的东西，既然做不到碰撞后百分之百解锁，那不如设计成主驾机械按钮落锁，逻辑就是行驶之后副驾后座自动落锁，主驾司机可以根据习惯，选择性落锁或者不落锁，因为一般主驾不会作死，在行驶过程中解锁打开车门，一直保持非落锁状态可能会更好 还有就是隐藏式门把手的问题，就不多说了,24,2025-10-16 17:13:10,支持
蓿夜君总是如此慵懒,深度分析了啥啊，说一堆都知道的。车速都分析不明白。这车先发生碰撞，但从影像资料来看车身相当完整。然后是横越绿化带，天府大道的绿化带不低啊，没有足够的车速肯定就被拦在绿化带了。 跟那种标题党“想告诉你有关xxx的一切”一样，你聊的明白一切吗，聊的明白深度分析吗🤔,1,2025-10-16 14:02:10,支持
难过就喝茶,总结一个，喝车不开酒，开酒不喝车；至于车有没有问题，买都买了，听天由命吧，就看车企有没有责任心了[嗑瓜子][吃瓜],10,2025-10-16 12:36:30,中立
买瑞克也用券,事实上网络清晰的视频来看，车门都没收到撞击，根本没变形，离谱的就是这个，从外打不开，从内都打不开,3,2025-10-16 19:44:40,支持
莫失莫忘情,150的速度撞击，前后车牌无变形，车身四个门框无变形，这车子用的振金造的,5,2025-10-16 13:18:49,支持
东边小老虎,一堆废话，实话不敢讲[doge],1,2025-10-16 11:06:22,反对
二十四文鱼141,一惊一乍 太吵了[笑哭],1,2025-10-18 21:31:12,中立
传奇选手孙殿军,保时捷给隐藏门把手加机械开关（992），保时米给非隐藏门把手阉割机械开关[笑哭]。这种设计风格，在涉及生命安全的东西上买小米，我只能说这辈子有了。,21,2025-10-15 23:41:01,支持
寸劲开脑壳er,半年前那破事就别说了，纯纯驾驶员的错,1,2025-10-17 08:17:00,支持
BonBonShit,酒驾的事故，非要扯车门打不开。你酒驾就是违法，醉驾就是犯罪，人家小米不设计外侧机械门把手不违法甚至不违规。真不知道一直在扯什么（本人开破烂凯美瑞，非米粉）,1,2025-10-17 10:28:31,支持
诡秘魔法师,那些开车非要喝酒的人，脑子是怎么想的。 这么喜欢死亡吗，叫个代价不行吗？,1,2025-10-17 01:55:19,支持
夕木森,这种人出事 就是人的问题,1,2025-10-17 22:42:44,支持
松仔爱加班,四轮学学新国标电自吧,2,2025-10-15 20:52:18,中立
墨小橘子,撞死的前盖没有严重变形，安全气囊没开，车门是救人着现场打碎的，当然我没说车的问题哈（米粉别骂我）这人要是不喝酒就没那些事了，不喝酒哪有那些事，不喝酒肯定不会超速，肯定是40码形式。,2,2025-10-16 12:08:13,支持
风声和丽,不完全统计,6,2025-10-16 12:57:22,反对
199588686,太帅咯,4,2025-10-19 00:57:22,中立
想给努力的人点个赞,有一句老话，得于斯着毁于斯。小米用营销用流量做出来的成绩，必然引来流量的关注。为什么别的车出事故没这么大的影响，就是这个原因,2,2025-10-17 09:02:58,支持
我心青狂-,小米su7本身就有很多设计缺陷，用做手机的思维来做车，乐了。[doge],21,2025-10-16 09:07:52,支持
单手嘿嘿嘿,至少车门没变形的情况下打不开 就是大问题 隐藏门把手追求个低风阻忽略安全性 罪该万死,3,2025-10-16 10:12:02,支持
墨莫陌陌沫,黑子还是两头堵，一百多公里速度翻滚车门不形变=质量真好。形变=与车无关。 今天结果出来了，车门还是形变了，但是我真佩服这比玻璃，都翻滚这样了，玻璃还不破。[吃瓜],1,2025-10-17 04:54:33,反对
好汉饶命口丫,大胆！,4,2025-10-16 04:34:19,中立
希望有梦和星辰,牢翔哭了，早知道就不多此一举了[笑哭],2,2025-10-16 11:04:16,反对
去靶壕看看我打几靶,门把手一定要能开门！,2,2025-10-15 22:39:40,反对
萧弦亮,怎么多了六分钟,64,2025-10-15 20:00:56,中立
震惊小笼包,过年回老家村里我曾经喝了酒去把车挪到院里，我是半斤多的量，当时就喝了二两，就能明显感觉脚下没轻没重，感官也不灵敏，所以你就能明白为什么酒驾都超速，我还没醉踩油门就一脚深一脚浅，喝醉了他知道个屁啊，真的是喝酒别开车,3,2025-10-17 21:50:39,支持
JulyZergling,喜欢买三元锂,1,2025-10-26 14:14:25,反对
风心道士,原因：真把小米当跑车玩了,7,2025-10-19 21:37:42,支持
无语了对你来说的,简单的来说人肯定有问题，这点没办法改变。而且是最大的问题。然后车也有问题最重要就是门打不开。这个车你们必须要改一下了。,1,2025-10-19 13:07:34,支持
余味勇闯无人区,新的来了～,4,2025-10-17 17:57:40,支持
Lee_Yep,人的问题是成因，车的问题是死因[OK] 所以车企责任更大,1,2025-10-18 17:28:31,支持
看啥动漫啊,作为一个汽车修理工科普一下，其实就算是机械外拉手，车内部没有解锁的情况下，外面也是怎么拉也拉不开的，这个时候什么机械还是微动都一样，物理隔绝了，所以也要考虑这方面的问题，是不是车辆事故之后车内落锁没有自动解除，这一点可以说大部分车子都没有,5,2025-10-18 04:56:40,支持
一只嗷_,我感觉市面上大多数电车都有这个毛病，并不是小米一家,27,2025-10-16 18:11:46,支持
井底很幸福,以前，欧洲和美国发明油车，是一些有钱人去做实验数据的，但是我们这里，大部分都是平凡工作的人，没什么钱的人去产生数据,3,2025-10-16 17:03:45,支持
汉斯丶先生,还小米的破窗锤呢，别人买了，直接卡里面拿不出来了，而且也有小字，双层夹胶玻璃不适用,1,2025-10-20 20:01:21,支持
集中输,既不认为是小米的问题，也不认为开200码的人有什么好救的，就像我之前认为深夜开智驾是活该一样，成年人，做出自己的选择就要付出代价啊，我开了十几年车，路上认为他应该付出代价的人每天都有，和小米不小米关系大吗？等待官方出一个品牌事故率,8,2025-10-15 23:44:17,支持
雷军万万岁,车灯都没撞坏，速度200？[滑稽]坦克都做不到,34,2025-10-16 06:48:52,支持
平底锅伦伦酱,首先说明我不是米粉，但是就淡村这个事故和门把手设计没啥关系😓米车确实没有外机械结构，但其实你们看车辆燃烧时候双闪没有，小电瓶或者线路已经损坏导致车门没解锁。这情况你油车或者带机械结构的隐藏门把手一样打不开的，你们回去把小电瓶拔了试下就知道了[笑哭]后者只有在第一次碰撞小电瓶良好，车门解锁了，但是后因为二次碰撞或者燃烧导致车门电子按钮没电，才会打不开。我敢说超哥是懂得，但是他觉得没必要讲太清楚，讲清楚就没啥流量了[doge_金箍],15,2025-10-17 12:39:59,支持
PPURSU11,电车建议买特斯拉。不是崇洋媚外。 因为特斯拉发展多少年了，车型都迭代多少代了。汽车安全性不是只靠商家的碰撞测试就能下定论的。而是需要大量的实车上路，用年限堆出来。 就像电脑杀毒软件一样，90％的杀毒软件都是只能防已经存在且知晓的病毒。如果有新病毒入侵电脑，就只能先让病毒感染电脑，然后软件再更新。之后就可以识别这种新型病毒了。 这就和车一样，上路暴露一个问题，车企就解决一个问题，修正缺点。并不是说国产车不好，而是因为像小米这种才出来2年的汽车品牌。交付1年不到，实车反馈太少。 大学学过概率论的都知道，数理统计是基于大样本的。对于汽车来说，大样本就是多年用户实车体验所暴露出来的缺点，以及比友商的优点。 我们希望国产车越来越好，但不能护犊子。难道我推荐特斯拉，它就不会出事故吗？当然不是。但是他暴露的毛病越多，改正的机会就越多。用户风险就会低一些。这是我的一贯看法。,1,2025-10-17 12:15:39,支持
克利夫兰诊所,还有超速这个事，今年过年那会网络上剪辑拼接的视频特别多，误导大众以为国家要整治龟速车（实际上但凡有点脑子都能想明白国家永远都不可能整治龟速车）都是统一骂龟速的，没有人骂超速，也有很多视频说马路上的牌子的意思是最低限速不是最高限速，以及120的速度上高速就没资格上快车道，快车道没个160就是在浪费别人的生命等等的，我只能说有些司机自己还是注意一下自己的嘴脸吧，都是考过驾驶证的人自己想开快车就别出来哄骗别人送死了,5,2025-10-17 23:59:42,支持
金杰又TM活了,你宣传你的车是高性能车，能比肩保时捷，超越 bba，那么你最好真的给你的用户一辆能能在各个方面都比肩保时捷的高性能车，而不是只有动力，因为你的用户真的会把它当保时捷开，迟早会被反噬的,5,2025-10-18 02:11:11,支持
澈澈ashesandwine,经常看@飞行砖家王机长 的空难讲解，航空安全建立在每一次事故的经验教训上，航空人在每一次事故后砥砺前行。换到地面交通也是一样，飞机有驾驶舱资源管理，汽车也要有资源管理，说明书要涵盖到本型号本配置的每一个按钮每一个暗格每一个功能，而不是在发售会上装逼只讲亮点。人类进步的动力之一是装逼，装逼是霸道，一直装逼才是王道。谁都眼馋管家贾维斯,5,2025-10-15 23:19:05,支持
我叫抠脚大汉这样,这一条路从天府一街到爱琴海广场一直没限速，凌晨轰油门的吵死了,5,2025-10-16 03:57:44,支持
普通市民1919,小米一造车[doge_金箍]国家多了不少强制标准,3,2025-10-16 12:21:39,支持
阿宝的找回账号,车灯都看起来完整,2,2025-10-15 20:46:45,中立
森林木棍备考版,做车是需要时间沉淀的，不是说你天天的做别的今天忽然想着做车就可以超越所有人的,2,2025-10-16 11:14:52,支持
あ私欲,现在别买新能源，非要买买老牌车企的，这种新星之秀让它沉淀一段时间再考虑吧[笑哭]别看网上的评价，哪有什么出道即巅峰啊[笑哭]谁真信那也是无敌了[笑哭],2,2025-10-16 18:13:45,支持
小强灰灰,哥 桌子上要不放个惊堂木[喜极而泣],4,2025-10-16 06:53:34,中立
不必追i,su7应该尽快在车外门把手加上机械装置,2,2025-10-16 12:05:16,反对
mgzcbl,好吵啊你,1,2025-10-23 07:38:26,支持
中二病晚期的彧竹,即使是酒驾也就是违法吧，醉驾才入刑，即使入刑也是一到六个月，甚至有概率是缓刑然后社区矫正（前提 在不造成交通安全事故下），简而言之，就是罪不至死。撞击后，车门打不开，然后被烧死难道不是车的问题最大？作为一款二十五到六十万区间的高端车，居然连安全都保障不了，这不难道不是笑话？电车在发生事故后会起火，这一担忧从电车问世至今一直被广泛讨论，难道造车的车企不知道这一方面的隐患吗？如果知晓，那为什么不配机械把手，不多装几个低压电池，不去完善车门在紧急情况下的开关功能呢？这种不负责任的行为说难听点不就是视人命为草芥吗？,2,2025-10-23 16:32:49,支持
悠哉笑颜pri,有待官方调查得出结论？安徽高速事件半年过去了等到结论了吗？ 你说国家强制召回辅助驾驶系统了？那不是雷大善人的秋季ota大更新么[doge],1,2025-10-17 23:47:40,支持
